,mean,median,std,min,25%,50%,75%,max,count
MinTemp,12.176265985687321,12.0,6.390882290565264,-8.5,7.6,12.0,16.8,33.9,99073.0
MaxTemp,23.21851318413472,22.6,7.115072398372777,-4.1,17.9,22.6,28.2,48.1,99286.0
Rainfall,2.353023737276353,0.0,8.487865726637203,0.0,0.0,0.0,0.8,371.0,98537.0
Evaporation,5.46131964552075,4.8,4.162490444622892,0.0,2.6,4.8,7.4,86.2,56985.0
Sunshine,7.6150903274009085,8.4,3.783007646224735,0.0,4.8,8.4,10.6,14.5,52199.0
WindGustSpeed,39.97696590567092,39.0,13.581523508538458,6.0,31.0,39.0,48.0,135.0,93036.0
WindSpeed9am,14.00484880453637,13.0,8.902322502301923,0.0,7.0,13.0,19.0,130.0,98581.0
WindSpeed3pm,18.65046426633634,19.0,8.801827206720244,0.0,13.0,19.0,24.0,87.0,97681.0
Humidity9am,68.86637567025834,70.0,19.074951346357114,0.0,57.0,70.0,83.0,100.0,98283.0
Humidity3pm,51.43329553654262,52.0,20.77761619524107,0.0,37.0,52.0,65.0,100.0,97010.0
Pressure9am,1017.6846381784158,1017.7,7.110166247607892,980.5,1013.0,1017.7,1022.4,1041.0,89768.0
Pressure3pm,1015.2862042214302,1015.3,7.045188770220091,978.2,1010.5,1015.3,1020.0,1039.6,89780.0
Cloud9am,4.447985277024409,5.0,2.8865800508918307,0.0,1.0,5.0,7.0,9.0,61944.0
Cloud3pm,4.519121551231643,5.0,2.7166180145495407,0.0,2.0,5.0,7.0,9.0,59514.0
Temp9am,16.97004105073709,16.7,6.488960793858915,-7.0,12.3,16.7,21.5,40.2,98902.0
Temp3pm,21.681340408966108,21.1,6.9316814716127775,-5.1,16.6,21.1,26.4,46.7,97612.0
RainTomorrow,0.22467743880381044,0.0,0.4173718219537549,0.0,0.0,0.0,0.0,1.0,99516.0
